食物编码,食物名称,食部,水分,能量,蛋白质,脂肪,碳水化合物,不溶性膳食纤维 ,胆固醇,灰分,总维生素A,胡萝卜素,视黄醇,硫胺素,核黄素,烟酸  ,维生素 C,维生素 E,钙,磷,钾,钠,镁,铁,锌,硒,铜,锰,备注,
,,%,g,kcal,g,g,g,g,mg,  g,HgRAE,μg,μg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,mg,mg,,
124309,海蚌(漳港海蚌，鲜),50,83,64,9.4,0.7,4.9,0,14,2,－,－,－,－,－,－,-,2.76,62,94,491,650.7,29,7,17.41,1.3,－,0.13,福建,
124310,蛏子(焯),52,82.2,67,13.5,0.9,1.1,0,44,2.3,－,－,－,－,－,－,-,0.45,36,265,195,484,30,42.2,2.07,1.4,－,-,浙江,
124311,缢蛏(鲜),55,82.6,73,8.6,1.8,5.6,0,20,1.4,－,－,－,－,－,－,-,3.54,64,174,124,133.4,26,21,0.72,0.03,－,0.01,福建,
124312,牛角江跳蛤(鲜)[长带子],59,83.9,49,7.1,0.5,4,0,5,4.5,－,－,－,－,－,－,-,4.21,43,86,454,606.1,29,3.2,114.11,0.11,－,0.19,福建,
124313,文蛤(鲜),31,84.7,56,9.2,0.7,3.2,0,18,2.2,－,－,－,－,－,－,-,5.04,30,90,115,456,63,17.7,2.32,2.49,－,0.14,福建,
124314,血蚶(鲜),31,86,51,8.2,0.5,3.3,0,29,2,－,－,－,－,－,－,-,3.89,234,78,108,236.3,40,27.3,1.08,1.56,－,0.13,福建,
124315,六角螺(鲜),7,67.4,118,23.5,0.5,4.8,0,113,3.8,-,－,-,0.01,0.1,2.14,-,0.39,554,160,372,447,51,3.5,1.96,57,0.77,0.84,三沙,
124316,海螺肉(干),100,18.9,295,65.7,0.5,7,0,191,7.9,-,－,-,0.02,0.09,6.75,-,0.94,276,368,829,1320,783,4.5,3.2,42,0.96,0.82,三沙,
124601,文蛤丸,100,56.6,211,16.2,9.2,15.8,0,65,2.3,2,－,－,0.01,0.05,3.79,-,－,21,165,226,565,23,8.4,1,－,－,－,台北,
129001,海参,100,77.1,78,16.5,0.2,2.5,0,51,3.7,-,－,-,0.03,0.04,0.1,-,3.14,285,28,43,502.9,149,13.2,0.63,63.93,0.05,0.76,山东,
129002,海参(干),93,18.9,262,50.2,4.8,4.5,0,62,21.6,39,－,39,0.04,0.13,1.3,-,－,,94,356,4968,1047,9,2.24,150,0.27,0.43,,
129003,海参(水浸),100,93.5,25,6,0.1,0,0,50,0.5,11,－,11,-,0.03,0.3,-,－,240,10,41,80.9,31,0.6,0.27,5.79,-,0.04,,
129004,海蜇皮,100,76.5,33,3.7,0.3,3.8,0,8,15.7,－,－,－,0.03,0.05,0.2,-,2.13,150,30,160,325,124,4.8,0.55,15.54,0.12,0.44,,
129005,海蜇头,100,69,74,6,0.3,11.8,0,10,12.9,14,－,14,0.07,0.04,0.3,-,2.82,120,22,331,467.7,114,5.1,0.42,16.6,0.21,1.76,,
129006,墨鱼(鲜，曼氏无针乌贼,69,79.2,83,15.2,0.9,3.4,0,226,1.3,-,－,-,0.02,0.04,1.8,-,1.49,15,165,400,165.5,39,1,1.34,37.52,0.69,0.1,,
129007,墨鱼(干，曼氏无针乌贼),82,24.8,287,65.3,1.9,2.1,0,316,5.9,-,－,-,0.02,0.05,3.6,-,6.73,82,413,261,1744,359,23.9,10.02,104.4,4.2,0.2,福建,
129008,鱿鱼(鲜，中国枪乌贼)[枪乌贼,97,80.4,84,17.4,1.6,0,0,268,1.1,35,－,35,0.02,0.06,1.6,-,1.68,44,19,290,110,42,0.9,2.38,38.18,0.45,0.08,,
